,1903c111_10m_1,1903c111_10m_2,1903c111_10m_3,1903c117_50m_1,1903c117_50m_2,1903c117_50m_3,1903c118_23m_2,1903c118_23m_3,1903c119_11m_2,1903c119_11m_3,1903c122_28m_1,1903c122_28m_2,1903c122_28m_3,1903c123_10m_1,1903c123_10m_2,1903c123_10m_3,1903c124_15m_1,1903c124_15m_2,1903c124_15m_3,1903c126_45m_1,1903c126_45m_2,1903c126_45m_3,1903c127_7m_1,1903c127_7m_2,1903c127_7m_3,1903c129_26m_1,1903c129_26m_2,1903c129_26m_3,1903c144_13m_2,1903c144_13m_3,Las19c107_10m_1,Las19c107_10m_2,Las19c107_10m_3,Las19c135_5m_1,Las19c135_5m_2,Las19c135_5m_3,Las19c138_27m_1,Las19c138_27m_3
TAX_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0
TAX_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51000,0,0,0,0,0,0,0,0,0,0,0,157000,0,0,0,0,206000,0,0,0,0
TAX_3,0,0,0,0,0,0,0,0,0,94000,0,0,0,0,0,0,0,0,0,0,0,0,62000,0,0,0,0,0,0,0,0,0,0,0,60000,0,56000,0
TAX_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67000,0,0,0,0,0,0,0,0,0,109000,0
TAX_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52000
TAX_6,50000,60000,0,50000,0,60000,0,0,0,109000,0,0,0,54000,59000,0,0,53000,0,0,0,0,91000,93000,0,0,0,76000,59000,60000,0,0,0,78000,88000,0,66000,68000
TAX_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74000,0
TAX_8,0,57000,0,0,54000,0,0,0,0,55000,58000,0,0,50000,54000,0,0,0,0,0,0,0,56000,53000,0,0,59000,0,52000,0,0,0,0,52000,50000,0,86000,0
TAX_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59000,0
TAX_10,360000,356000,0,174000,119000,78000,0,0,86000,121000,155000,237000,0,841000,668000,0,608000,427000,0,483000,638000,0,83000,76000,0,181000,502000,0,0,0,799000,772000,0,244000,227000,0,2351000,0
TAX_11,1694000,1461000,0,781000,378000,221000,88000,0,313000,293000,659000,1068000,0,3684000,2846000,0,2450000,1936000,0,2173000,2928000,74000,292000,257000,0,797000,2281000,58000,0,0,3413000,3118000,0,1178000,1015000,0,10510000,76000
TAX_12,65000,59000,0,62000,0,0,0,0,0,0,0,55000,0,137000,78000,0,120000,77000,0,114000,145000,0,0,0,0,0,125000,0,0,0,113000,134000,0,51000,0,0,433000,0
TAX_13,564000,709000,0,107000,59000,100000,0,0,0,0,465000,758000,0,196000,181000,0,87000,125000,0,219000,340000,0,0,0,0,110000,303000,0,78000,0,114000,70000,0,0,0,0,547000,0
TAX_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73000,108000,0,0,0,0,0,107000,0,0,0,0,0,0,0,0,0,179000,0
TAX_15,973000,1248000,0,271000,210000,78000,0,0,0,60000,477000,853000,0,573000,511000,0,144000,200000,0,747000,1063000,0,61000,58000,0,343000,880000,0,0,0,370000,186000,0,0,0,0,1074000,0
TAX_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61000,0,0,0,0,0,0,0,0,0,96000,0
TAX_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58000,0,0,0,0,51000,86000,0,60000,0,0,0,0,0,0,0,86000,0
TAX_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61000,82000,0,0,0,0,0,73000,0,0,0,0,0,0,0,0,0,148000,0
TAX_19,0,0,0,0,0,0,0,0,0,0,72000,140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78000,0,0,0,0,0,0,0,0,0,64000,0
TAX_20,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64000,0,0,0,0,0,65000,0,0,0,0,0,0,0,0,0,284000,0
TAX_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65000,0
TAX_22,0,0,0,0,0,0,0,0,0,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_23,0,0,0,0,0,0,0,0,0,61000,0,0,0,0,0,0,0,0,0,0,0,0,0,56000,0,0,0,0,0,0,0,0,0,0,66000,0,0,0
TAX_24,1001000,859000,0,391000,151000,0,0,0,286000,141000,0,0,0,917000,808000,0,1301000,650000,0,0,0,0,125000,152000,0,0,0,65000,65000,0,241000,227000,0,91000,0,0,0,0
TAX_25,0,0,0,0,0,0,0,0,0,67000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_26,0,0,0,0,0,0,0,0,0,208000,0,0,0,140000,104000,0,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,180000,123000,0,0,0,0,0,0
TAX_27,0,0,0,0,0,0,0,0,0,67000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55000,0,0,0,0,0,0,0
TAX_28,105000,123000,0,0,0,0,0,0,0,85000,0,0,0,124000,99000,0,73000,74000,0,0,0,0,60000,84000,0,0,0,0,89000,0,73000,51000,0,61000,53000,0,0,0
TAX_29,0,0,0,0,0,54000,0,0,0,76000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_30,0,0,0,0,0,0,0,0,0,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_31,146000,118000,0,69000,0,654000,0,0,0,3042000,81000,105000,0,250000,201000,2949000,301000,233000,0,0,0,643000,0,0,0,58000,115000,1145000,0,0,414000,208000,0,0,0,2389000,301000,725000
TAX_32,0,0,0,0,0,0,0,0,0,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_33,0,0,0,0,0,0,0,0,0,89000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259000,0,0
TAX_35,88000,93000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_36,618000,517000,0,0,0,0,0,0,59000,54000,0,0,0,181000,143000,0,97000,51000,0,0,0,0,0,64000,0,0,0,0,0,0,233000,132000,0,0,0,0,0,0
TAX_37,0,0,0,0,0,0,0,0,0,123000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68000,0,0,0,0,0,0,0
TAX_38,0,0,0,0,0,0,0,0,0,877000,0,0,0,164000,97000,0,107000,84000,0,0,0,0,0,0,0,0,0,0,0,0,275000,206000,0,0,0,0,0,0
TAX_39,0,0,0,0,0,0,0,0,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112000,72000,0,0,0,0,0,0
TAX_40,50000,0,0,52000,0,91000,0,0,0,3451000,0,0,0,254000,212000,0,202000,184000,0,0,0,0,79000,83000,0,0,0,852000,114000,0,433000,312000,0,147000,120000,0,0,0
TAX_41,0,0,0,0,0,0,0,0,0,989000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_42,0,0,0,0,0,0,0,0,0,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_43,0,0,0,0,0,79000,0,0,0,108000,0,0,0,54000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361000,0
TAX_44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101000,0
TAX_45,0,0,0,0,0,0,0,0,0,0,0,58000,0,0,0,0,0,0,0,0,69000,0,0,0,0,58000,122000,0,0,0,0,0,0,0,0,0,290000,0
TAX_46,261000,314000,0,170000,132000,142000,0,0,52000,83000,261000,450000,0,532000,430000,0,71000,133000,0,338000,482000,0,153000,131000,0,548000,1238000,0,126000,0,295000,148000,0,93000,92000,0,2379000,0
TAX_47,732000,1120000,0,192000,103000,492000,0,0,0,0,1271000,2693000,0,181000,116000,0,0,0,197000,6142000,7041000,0,0,0,0,4290000,6997000,0,0,0,131000,0,0,0,0,0,8450000,0
TAX_48,100000,123000,0,0,0,0,0,0,0,0,123000,307000,0,0,0,0,0,0,0,245000,345000,0,0,0,0,427000,1475000,0,0,0,0,0,0,0,0,0,3538000,0
TAX_49,0,0,0,0,0,0,0,0,0,0,0,0,0,51000,0,0,0,0,0,0,68000,0,0,0,0,0,72000,0,0,0,0,67000,0,0,0,0,247000,0
TAX_50,306000,439000,0,96000,0,175000,129000,0,0,0,460000,1057000,0,80000,0,0,0,0,62000,3316000,4087000,51000,0,0,0,2072000,4001000,0,0,0,234000,113000,0,0,0,0,4681000,83000
TAX_51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59000,0,0,0,0,0,94000,0,0,0,0,0,0,0,0,0,201000,0
TAX_52,0,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000,0
TAX_53,0,63000,0,223000,123000,83000,0,0,66000,251000,0,0,0,0,0,0,0,0,0,0,0,0,121000,101000,0,0,53000,0,216000,198000,0,0,0,275000,224000,621000,72000,94000
TAX_54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55000,0,0,0,0,0,0,0,0,104000,0
TAX_55,88000,79000,0,0,0,93000,0,0,0,0,0,0,0,0,0,0,0,0,107000,183000,187000,0,0,0,0,73000,75000,0,0,0,0,0,0,0,0,0,1940000,0
TAX_56,1818000,1651000,0,695000,242000,4643000,120000,0,155000,60000,1503000,1995000,0,712000,557000,0,313000,325000,1625000,2602000,2851000,186000,169000,147000,0,5240000,5658000,0,219000,0,2105000,992000,0,0,0,0,11587000,768000
TAX_57,165000,167000,0,64000,0,420000,0,0,0,0,141000,141000,0,69000,0,0,0,0,138000,211000,223000,0,0,0,0,464000,463000,0,0,0,218000,88000,0,220000,144000,0,1253000,66000
TAX_58,62000,236000,0,157000,0,0,0,0,66000,0,60000,296000,0,206000,0,0,53000,0,0,210000,397000,0,1106000,791000,0,628000,1684000,0,384000,0,285000,161000,0,162000,124000,0,1426000,0
TAX_59,1281000,1566000,0,1251000,698000,719000,69000,0,347000,0,1059000,2575000,0,2056000,1726000,0,322000,679000,119000,3260000,4521000,0,1316000,987000,0,5155000,10218000,0,972000,0,3272000,1708000,0,1441000,1074000,0,12586000,68000
TAX_60,5604000,6057000,0,4071000,2140000,4837000,2610000,0,1050000,55000,6546000,8462000,0,4431000,3405000,0,1884000,1624000,1355000,9378000,9435000,60000,562000,511000,0,9029000,9355000,0,572000,0,8417000,7773000,0,608000,362000,50000,9399000,318000
