,1903c111_10m_1,1903c111_10m_2,1903c111_10m_3,1903c117_50m_1,1903c117_50m_2,1903c117_50m_3,1903c118_23m_2,1903c118_23m_3,1903c119_11m_2,1903c119_11m_3,1903c122_28m_1,1903c122_28m_2,1903c122_28m_3,1903c123_10m_1,1903c123_10m_2,1903c123_10m_3,1903c124_15m_1,1903c124_15m_2,1903c124_15m_3,1903c126_45m_1,1903c126_45m_2,1903c126_45m_3,1903c127_7m_1,1903c127_7m_2,1903c127_7m_3,1903c129_26m_1,1903c129_26m_2,1903c129_26m_3,1903c144_13m_2,1903c144_13m_3,Las19c107_10m_1,Las19c107_10m_2,Las19c107_10m_3,Las19c135_5m_1,Las19c135_5m_2,Las19c135_5m_3,Las19c138_27m_1,Las19c138_27m_3
TAX_61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74000,69000,0,0,0,0,291000,0,0,0,0,189000,132000,0,0,0
TAX_62,203000,189000,0,0,0,86000,0,0,0,84000,178000,286000,0,0,0,0,51000,0,0,459000,687000,137000,0,0,0,66000,199000,104000,0,0,75000,116000,0,0,0,0,1352000,0
TAX_63,248000,169000,0,79000,0,3454000,0,0,0,3475000,315000,752000,0,140000,106000,0,156000,95000,0,57000,79000,3548000,0,0,0,74000,114000,3289000,0,0,239000,310000,0,0,0,600000,861000,883000
TAX_64,58000,0,0,0,0,0,0,0,0,184000,0,0,0,0,0,0,0,0,0,0,101000,449000,0,0,0,93000,118000,50000,0,0,0,0,0,0,0,0,0,0
TAX_65,79000,91000,0,0,0,204000,0,0,0,507000,0,60000,0,0,0,57000,0,0,0,0,0,542000,0,0,0,0,59000,289000,0,0,64000,70000,0,0,0,2277000,165000,326000
TAX_66,81000,0,0,0,0,109000,0,0,0,0,54000,0,0,0,0,0,0,0,158000,0,0,0,0,0,0,110000,0,0,0,0,0,0,0,0,0,0,278000,0
TAX_67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58000,0
TAX_68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157000,0
TAX_69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_70,330000,274000,0,60000,0,245000,0,0,0,0,284000,194000,0,0,0,0,0,0,502000,694000,680000,0,0,0,0,362000,327000,0,80000,0,141000,71000,0,0,0,0,588000,0
TAX_71,1794000,1811000,0,1657000,1426000,1848000,424000,0,513000,0,1842000,1864000,0,1683000,1565000,0,735000,887000,1726000,1839000,1851000,0,1588000,1532000,0,1776000,1843000,0,1318000,0,1748000,1681000,0,1339000,1115000,0,1749000,374000
TAX_72,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93000,84000,88000,0,0,0,0,84000,0,0,0,0,0,0,0,0,0,0,55000,0
TAX_73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105000,204000,266000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_74,236000,239000,0,149000,78000,145000,79000,0,0,0,145000,233000,0,165000,115000,0,0,0,311000,379000,385000,0,0,0,0,353000,378000,0,0,0,243000,193000,0,0,0,0,288000,0
TAX_75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85000,79000,86000,0,0,0,0,88000,51000,0,0,0,0,0,0,0,0,0,0,0
TAX_76,834000,688000,0,260000,129000,889000,128000,0,0,0,783000,391000,0,67000,61000,0,0,0,999000,867000,854000,0,0,0,0,991000,669000,0,0,0,370000,175000,0,0,0,0,1065000,108000
TAX_77,0,0,0,0,0,53000,0,0,0,0,51000,51000,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65000,56000,0,0,0,0,0,0
TAX_78,54000,57000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68000,86000,87000,0,0,0,0,78000,81000,0,0,0,59000,0,0,0,0,0,58000,0
TAX_79,0,0,0,50000,0,54000,0,0,0,0,50000,63000,0,54000,0,0,0,0,0,0,51000,0,0,0,0,54000,59000,0,0,0,57000,54000,0,0,0,0,0,0
TAX_80,63000,60000,0,0,0,69000,0,0,0,0,71000,0,0,0,0,0,0,0,76000,67000,65000,0,0,0,0,68000,0,0,0,0,51000,0,0,0,0,0,82000,0
TAX_81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56000,101000,105000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72000,0
TAX_82,1291000,1197000,0,912000,512000,1442000,153000,0,67000,0,1436000,943000,0,410000,257000,0,109000,97000,1293000,1183000,1166000,0,112000,86000,0,1201000,797000,0,0,0,1097000,637000,0,99000,62000,0,1357000,62000
TAX_83,1221000,1106000,0,903000,687000,1579000,81000,0,269000,0,1557000,998000,0,499000,383000,0,191000,227000,1134000,923000,865000,0,386000,366000,0,898000,556000,0,110000,0,958000,614000,0,385000,294000,0,1206000,88000
TAX_84,800000,770000,0,91000,0,848000,0,0,0,0,736000,896000,0,111000,79000,0,0,0,1047000,1391000,1426000,0,77000,58000,0,664000,896000,0,157000,0,164000,112000,0,50000,0,0,839000,60000
TAX_85,1096000,1101000,0,1088000,893000,1249000,308000,0,333000,0,1182000,1287000,0,1110000,1020000,0,409000,522000,910000,1125000,1134000,0,710000,613000,0,1087000,1187000,0,339000,0,1206000,1135000,0,543000,376000,0,954000,101000
TAX_86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52000,54000,74000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_87,89000,87000,0,53000,0,70000,0,0,0,0,64000,65000,0,0,0,0,0,0,198000,273000,273000,0,0,0,0,144000,157000,0,0,0,114000,73000,0,0,0,0,116000,0
TAX_88,1316000,1238000,0,444000,237000,1269000,76000,0,0,0,1236000,1082000,0,342000,272000,0,68000,99000,1373000,1381000,1386000,0,142000,138000,0,1142000,1022000,0,228000,0,717000,453000,0,136000,102000,0,1349000,112000
TAX_89,1083000,1014000,0,1463000,1138000,1477000,283000,0,396000,0,1409000,1246000,0,1354000,1167000,0,560000,629000,564000,825000,809000,0,767000,709000,0,1323000,1260000,0,434000,0,1587000,1480000,0,627000,458000,0,1029000,84000
TAX_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136000,147000,0,0,0,0,55000,103000,0,0,0,0,0,0,0,0,0,0,0
TAX_91,83000,59000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81000,209000,228000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_92,1036000,1049000,0,858000,572000,1307000,116000,0,183000,0,1223000,1341000,0,961000,796000,0,240000,326000,1094000,1475000,1481000,0,454000,423000,0,1065000,1231000,0,290000,0,1182000,1010000,0,329000,226000,0,861000,82000
TAX_93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63000,85000,0,0,0,0,0,70000,0,0,0,0,0,0,0,0,0,0,0
TAX_94,123000,122000,0,0,0,0,158000,0,0,0,57000,86000,0,0,0,0,0,0,422000,831000,882000,0,0,0,0,601000,742000,0,0,0,0,0,0,0,0,0,164000,0
TAX_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64000,81000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,0,491000,0
TAX_97,66000,82000,0,0,0,0,0,0,0,0,0,59000,0,0,0,0,0,0,86000,255000,317000,0,0,0,0,0,60000,0,0,0,74000,0,0,0,0,0,631000,0
TAX_98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000,103000,0,0,0,0,0,0,0,0,0,52000,0,0,0,0,0,387000,0
TAX_99,245000,174000,0,139000,53000,258000,0,0,0,0,207000,0,0,0,0,0,0,0,290000,160000,164000,0,0,0,0,312000,136000,0,105000,0,344000,88000,0,0,0,0,896000,0
TAX_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72000,0,0,0,0,0,0,0,0,0,0,119000,0
TAX_101,83000,66000,0,0,0,0,0,0,0,0,57000,0,0,0,0,0,0,0,106000,0,80000,0,0,0,0,250000,104000,0,0,0,73000,0,0,0,0,0,276000,0
TAX_102,161000,106000,0,72000,0,133000,0,0,0,0,104000,0,0,0,0,0,0,0,186000,88000,0,0,0,0,0,153000,62000,0,0,0,120000,0,0,0,0,0,494000,0
TAX_103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178000,0
TAX_104,718000,521000,0,298000,146000,662000,53000,0,0,0,577000,117000,0,68000,0,0,0,0,839000,464000,487000,0,0,0,0,849000,448000,0,81000,0,637000,207000,0,0,0,0,1151000,127000
TAX_105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,0,0,101000,0,0,0,0,61000,0,0,0,0,0,248000,0
TAX_106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55000,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67000,0
TAX_107,86000,67000,0,0,0,91000,0,0,0,0,55000,0,0,0,0,0,0,0,224000,92000,77000,0,0,0,0,66000,0,0,0,0,0,0,0,0,0,0,200000,0
TAX_108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72000,203000,216000,0,0,0,0,67000,83000,0,0,0,0,0,0,0,0,0,0,0
TAX_109,215000,142000,0,60000,0,266000,0,0,0,0,168000,0,0,0,0,0,0,0,685000,288000,250000,0,0,0,0,374000,124000,0,0,0,108000,0,0,0,0,0,501000,0
TAX_110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130000,145000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55000,0
TAX_112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198000,0
TAX_113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101000,0
TAX_114,133000,168000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,164000,171000,0,0,0,0,236000,287000,0,0,0,0,0,0,0,0,0,275000,0
TAX_115,55000,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70000,69000,0,0,0,0,58000,76000,0,0,0,0,0,0,0,0,0,122000,0
TAX_116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151000,0
TAX_117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102000,107000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58000,0
TAX_118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143000,0
TAX_119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0
TAX_120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58000,0
TAX_121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69000,57000,0,0,0,0,0,0,0,0,0,0,0,0,166000,0,0,0,0,0,0,0
TAX_122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54000,0,0,0,0,0,0,0
TAX_123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97000,0,0,0,0,0,0,0
TAX_124,0,0,0,0,0,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146000,0,0,0,0,0,0,0,0,120000,0,0,0,0,0,203000,0
TAX_125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77000,67000,0,0,0,226000,0,0,0,0,0,0,0,0,428000,93000,0,0,0,0,269000,0
TAX_126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69000,0,0,0,0,0,0,0,0,105000,0,0,0,0,0,76000,0
TAX_127,0,0,0,109000,0,152000,0,0,0,0,0,0,0,0,0,0,0,0,77000,0,0,163000,0,0,0,0,0,0,51000,0,436000,121000,0,0,0,0,329000,0
TAX_128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52000,0
TAX_129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54000,0
TAX_130,101000,0,0,59000,63000,345000,0,0,0,0,90000,0,0,0,0,0,65000,0,230000,0,0,461000,0,0,0,50000,0,0,136000,0,251000,0,0,0,0,0,635000,89000
TAX_131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000,52000,0,0,0,233000,0,0,0,0,0,0,68000,0,301000,68000,0,0,0,0,262000,0
TAX_132,0,0,0,0,0,75000,0,0,0,0,0,0,0,0,0,0,0,0,53000,0,0,99000,0,0,0,0,0,0,57000,0,188000,0,0,0,0,0,216000,0
TAX_133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89000,0,0,0,0,0,120000,0
TAX_134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106000,0,0,0,0,0,0,0,0,58000,0,0,0,0,0,74000,0
TAX_135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,0,0,0,0,0,0,0,0,0
TAX_137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000
TAX_138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84000
TAX_139,112000,116000,0,159000,59000,985000,0,0,50000,505000,303000,549000,115000,67000,0,161000,0,0,0,178000,235000,1044000,53000,100000,108000,280000,461000,610000,85000,0,111000,84000,220000,222000,106000,1009000,595000,1068000
TAX_140,0,0,0,0,0,133000,0,0,0,85000,0,73000,0,0,0,0,0,0,0,0,0,138000,0,0,0,0,73000,61000,0,0,0,0,0,0,0,126000,76000,159000
TAX_141,0,0,0,0,0,111000,0,0,0,214000,0,61000,0,0,0,0,0,0,0,0,0,339000,0,0,0,0,57000,116000,0,0,0,0,0,0,0,87000,115000,152000
TAX_142,0,0,0,0,0,56000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55000,63000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362000,0
TAX_143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81000,0
TAX_144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57000,0,0,0,0,0,101000,0
