"Sample","sequencing_platform","eDNA_sample","replicate","DepthGroup","shan_div"
"1903c111_10m_1","Illumina","1903c111_10m",1,"5-10m",4.72836445072437
"1903c111_10m_2","Illumina","1903c111_10m",2,"5-10m",4.61306521171495
"1903c111_10m_3","PacBio","1903c111_10m",3,"5-10m",1.20876228920931
"1903c117_50m_1","Illumina","1903c117_50m",1,"45-50m",4.53146205027214
"1903c117_50m_2","Illumina","1903c117_50m",2,"45-50m",4.12516198327645
"1903c117_50m_3","PacBio","1903c117_50m",3,"45-50m",5.20920701579833
"1903c118_23m_2","Illumina","1903c118_23m",2,"11-28m",3.70389178828482
"1903c118_23m_3","PacBio","1903c118_23m",3,"11-28m",0.569268569218154
"1903c119_11m_2","Illumina","1903c119_11m",2,"5-10m",4.10613845836317
"1903c119_11m_3","PacBio","1903c119_11m",3,"5-10m",4.49155684967465
"1903c122_28m_1","Illumina","1903c122_28m",1,"11-28m",4.69012146817821
"1903c122_28m_2","Illumina","1903c122_28m",2,"11-28m",4.36694723796296
"1903c122_28m_3","PacBio","1903c122_28m",3,"11-28m",2.67572264005435
"1903c123_10m_1","Illumina","1903c123_10m",1,"5-10m",4.36300405590274
"1903c123_10m_2","Illumina","1903c123_10m",2,"5-10m",4.2018539738739
"1903c123_10m_3","PacBio","1903c123_10m",3,"5-10m",3.40471227242426
"1903c124_15m_1","Illumina","1903c124_15m",1,"11-28m",4.41282445866319
"1903c124_15m_2","Illumina","1903c124_15m",2,"11-28m",4.29662467042515
"1903c124_15m_3","PacBio","1903c124_15m",3,"11-28m",4.57185348665614
"1903c126_45m_1","Illumina","1903c126_45m",1,"45-50m",3.93918211368579
"1903c126_45m_2","Illumina","1903c126_45m",2,"45-50m",3.97278542165696
"1903c126_45m_3","PacBio","1903c126_45m",3,"45-50m",4.89166941955519
"1903c127_7m_1","Illumina","1903c127_7m",1,"5-10m",4.41777783286902
"1903c127_7m_2","Illumina","1903c127_7m",2,"5-10m",4.3721506939496
"1903c127_7m_3","PacBio","1903c127_7m",3,"5-10m",0.692509289811495
"1903c129_26m_1","Illumina","1903c129_26m",1,"11-28m",4.56734536453503
"1903c129_26m_2","Illumina","1903c129_26m",2,"11-28m",4.34217294404739
"1903c129_26m_3","PacBio","1903c129_26m",3,"11-28m",4.17144004640806
"1903c144_13m_2","Illumina","1903c144_13m",2,"11-28m",4.65761718472577
"1903c144_13m_3","PacBio","1903c144_13m",3,"11-28m",3.28273676050236
"Las19c107_10m_1","Illumina","Las19c107_10m",1,"5-10m",4.98802141517546
"Las19c107_10m_2","Illumina","Las19c107_10m",2,"5-10m",4.52689086436428
"Las19c107_10m_3","PacBio","Las19c107_10m",3,"5-10m",0.944417736395797
"Las19c135_5m_1","Illumina","Las19c135_5m",1,"5-10m",4.52402300900687
"Las19c135_5m_2","Illumina","Las19c135_5m",2,"5-10m",4.47080483599181
"Las19c135_5m_3","PacBio","Las19c135_5m",3,"5-10m",4.40498043023528
"Las19c138_27m_1","Illumina","Las19c138_27m",1,"11-28m",5.02186924610738
"Las19c138_27m_3","PacBio","Las19c138_27m",3,"11-28m",4.92235525339476
