,r1903c111_10m-3,r1903c117_50m-3,r1903c118_23m-3,r1903c119_11m-3,r1903c122_28m-3,r1903c123_10m-3,r1903c124_15m-3,r1903c126_45m-3,r1903c127_7m-3,r1903c129_26m-3,r1903c144_13m-3,rLas19c107_10m-3,rLas19c135_5m-3,rLas19c138_27m-3,ri1903c111_10m-1,ri1903c111_10m-2,ri1903c117_50m-1,ri1903c118_23m-2,ri1903c119_11m-2,ri1903c122_28m-1,ri1903c122_28m-2,ri1903c123_10m-2,ri1903c124_15m-1,ri1903c124_15m-2,ri1903c126_45m-1,ri1903c126_45m-2,ri1903c127_7m-2,ri1903c129_26m-1,ri1903c129_26m-2,ri1903c144_13m-2,riLas19c107_10m-2,riLas19c135_5m-1,riLas19c135_5m-2,riLas19c138_27m-1
TAX_21,0,0,0,0,0,0,100800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161000,165200,0,98200,144800,0,0,0,0,0
TAX_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67000,75400,0,0,0,0,0,0,0,0
TAX_23,0,377400,0,0,0,0,331800,0,0,0,0,0,0,0,325200,325800,302800,51200,63400,364800,410000,296800,76800,109400,441400,446000,145800,353400,383400,111600,354200,113600,84200,284400
TAX_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52000,0,0,0,0,0
TAX_25,0,0,0,0,0,0,130200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270400,286600,0,189800,245000,0,0,0,0,55400
TAX_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145800
TAX_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139200,159200,0,0,0,0,0,0,0,94000
TAX_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301800
TAX_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115200
TAX_30,0,0,0,0,0,0,89600,0,0,0,0,0,0,0,82000,51800,0,0,0,53400,0,0,0,0,0,0,0,118200,0,0,0,0,0,189200
TAX_31,0,63400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76000
TAX_33,0,265400,0,0,0,0,315200,0,0,0,0,0,0,55200,269600,228000,141800,0,0,237800,66600,0,0,0,182800,177800,0,296800,170400,53800,112600,0,0,365400
TAX_34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59600,0,0,0,0,0,0,0,85600
TAX_35,0,59800,0,0,0,0,157800,0,0,0,0,0,0,0,58800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122800
TAX_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59600,0,0,0,0,0,0,0,0,0
TAX_37,0,0,0,0,0,0,54800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_38,0,102600,0,0,0,0,230000,0,0,0,0,0,0,0,105600,77200,0,0,0,70400,0,0,0,0,95800,91400,0,134200,51400,0,0,0,0,171000
TAX_39,0,0,0,0,0,0,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154600,163800,0,0,0,0,0,0,0,0
TAX_40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51000
TAX_41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51000,0,0,81400,91000,0,0,0,0,0
TAX_42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55200,65800,0,0,0,0,0,0,0,0,0,55000,0,0,0,0,0,0,0,102800
TAX_43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000,95200,0,0,0,0,0,0,0,210400
TAX_44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64200,70200,0,0,0,0,0,0,0,62200
TAX_45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66600
TAX_46,0,51800,0,0,0,0,0,143800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54400,0,0,163200
TAX_47,0,0,0,0,0,0,0,57400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64800
TAX_48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105400,0,0,71000,0,0,96800,79000,0,0,0,0,0,128800,117800,0,0,294400
TAX_49,0,240000,0,0,0,0,167800,274400,0,0,0,0,0,65200,74800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54000
TAX_50,0,0,0,0,0,0,0,75200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74200
TAX_51,0,0,0,0,0,0,0,95600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58600
TAX_53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52400
TAX_54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60200
TAX_55,0,0,0,0,0,0,0,0,0,147200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51600
TAX_57,0,0,0,0,0,0,0,95000,0,0,0,0,0,153200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_58,0,429400,0,117800,74000,102000,0,431200,51600,291000,0,108400,434600,445600,0,0,0,0,0,71000,124600,0,0,0,0,62200,0,58000,101200,0,0,0,0,126400
TAX_59,0,179800,0,298000,0,0,0,184200,0,115600,0,0,173600,176000,80200,74600,105800,0,0,171400,306200,0,0,0,116200,139800,0,157200,253000,66800,63800,122800,57800,295000
TAX_60,0,0,0,83400,0,0,0,110800,0,0,0,0,0,61800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92600
TAX_62,0,0,0,0,0,0,0,118800,0,0,0,0,0,0,54600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115000,0,0,360600
TAX_63,0,65200,0,0,0,0,56400,101600,0,0,0,0,0,89000,0,0,0,0,0,0,0,0,0,0,68800,0,0,0,0,0,0,0,0,66000
TAX_64,0,0,0,0,0,0,0,254800,0,0,0,0,0,195400,0,0,0,0,0,0,0,0,0,0,0,66600,0,0,0,0,0,0,0,148600
TAX_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56400
TAX_66,0,0,0,0,0,0,0,165600,0,0,0,0,0,0,67600,95000,60600,0,0,0,0,289400,283600,205600,127800,172800,0,0,77600,54000,494400,0,0,599800
TAX_67,0,0,0,0,0,0,0,55200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64800
TAX_68,0,0,0,0,0,0,0,137800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53200,0,0,0,0,0,0,0,154800,0,0,331600
TAX_69,0,109400,0,59600,0,0,0,481000,0,0,0,0,0,190600,0,0,0,0,0,0,0,0,0,0,64400,64600,0,61600,81400,0,54000,0,0,442600
TAX_70,0,0,0,0,0,0,0,158400,0,0,0,0,0,72800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132200
TAX_71,0,53600,0,55800,0,0,0,448600,0,0,0,0,0,147000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68600
TAX_72,0,0,0,0,0,0,0,135400,0,0,0,0,0,269000,0,0,0,0,0,0,0,0,0,0,147000,212400,0,84200,228200,0,0,0,0,72600
TAX_73,0,0,0,159400,0,0,0,0,0,91600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_74,0,0,0,0,0,0,0,56800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63400,0,0,54000,0,0,0,0,0
TAX_75,0,0,0,0,0,0,0,104800,0,0,0,0,0,69400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_76,0,94800,0,0,0,0,72800,78400,0,0,0,0,0,253600,51600,0,0,0,0,0,0,0,0,0,101400,105600,0,56600,0,0,0,0,0,96200
TAX_77,0,0,0,0,0,0,0,62800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_78,0,0,0,0,0,0,0,231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164400
TAX_79,0,0,0,0,0,0,0,80600,0,0,0,0,0,75600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_80,0,63600,0,0,0,0,66000,63400,0,0,0,0,57000,59000,0,0,0,0,0,53600,0,0,0,0,0,0,0,0,0,0,0,0,0,59000
TAX_81,0,230400,0,111800,0,0,229600,236000,0,55600,0,0,219800,233200,188400,155800,137000,148600,56600,214600,56200,0,72800,58200,123400,127000,104000,181000,98000,190400,101400,121000,149400,224400
TAX_82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71600,0,0,0,0
TAX_83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53000
TAX_84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65000
TAX_85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,84200
TAX_86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70600
TAX_87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62000
TAX_88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72000
TAX_89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53800
TAX_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67200
TAX_91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52000,0,0,0,0,80200
TAX_92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68600
TAX_93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59200
TAX_94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51400
TAX_95,0,0,0,96600,0,0,0,105400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_96,0,0,0,0,0,0,0,181400,0,0,0,0,65200,184200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68000,0,0,0,0,50600
TAX_97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54400
TAX_98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52600
TAX_99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50400
TAX_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58200
TAX_101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50800
TAX_102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65000
TAX_103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000
TAX_104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50400
TAX_105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51600,0,0,59400,0,0,0,0,101000
TAX_106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000
TAX_107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70800
TAX_108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52400
TAX_109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59400
TAX_110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52600
TAX_111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57200
TAX_112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54200
TAX_113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66800
TAX_114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51200
TAX_115,0,64200,0,62800,0,0,0,50800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68200
TAX_116,0,0,0,0,0,0,0,0,0,0,0,0,157800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_117,0,0,0,0,0,0,0,0,0,0,0,0,169200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_118,0,50400,0,85600,0,0,0,0,0,0,0,0,0,56200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_119,0,0,0,80600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53400,0,0,0,0,0,72400,0
TAX_121,0,61800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60400
TAX_122,0,632200,0,0,0,0,159000,0,0,0,0,0,0,75200,253400,190600,67800,0,0,523600,185000,0,0,0,91800,81400,0,203600,79600,0,0,69200,51400,267800
TAX_123,0,53200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58000,0,0,0,0,0,0,0
TAX_124,0,169000,0,0,0,0,0,0,0,0,0,0,0,0,55200,0,0,0,0,142600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_125,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_126,0,57800,0,0,0,0,127200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_127,0,80600,0,90600,0,0,67000,132400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70800
TAX_128,0,0,0,59200,0,0,0,73600,0,0,0,0,0,107000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_129,0,93200,0,0,0,0,56800,70200,0,0,0,0,0,62400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000
TAX_130,0,101400,0,224600,0,0,0,0,0,0,0,0,0,0,0,0,59400,0,53000,0,0,0,0,0,0,0,0,0,0,112200,51400,0,50600,52000
TAX_131,0,272600,0,168800,0,0,263800,107600,0,63600,0,0,0,152200,106200,56600,0,0,0,98200,0,0,59800,50200,0,0,0,103800,0,0,0,0,0,284600
TAX_132,0,53600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_133,0,0,0,65400,0,0,0,85000,0,0,0,0,103200,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_134,0,237200,0,127400,0,0,0,212200,0,52000,0,0,210000,317800,77000,0,50600,0,0,100000,0,0,55800,54400,0,0,0,83000,0,0,87200,0,0,109800
TAX_135,0,55400,0,0,0,0,0,59400,0,0,0,0,0,97200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_136,0,0,0,0,0,0,0,0,0,0,0,0,0,53800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_137,0,71400,0,0,0,0,0,171400,0,0,0,0,91400,146800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_138,0,87800,0,249000,0,0,0,0,0,86400,0,0,74200,0,0,0,83600,0,0,0,0,0,0,0,0,0,0,0,0,71200,52800,0,0,0
TAX_139,0,425200,0,446800,0,0,0,320200,0,260600,0,0,0,472200,0,0,0,0,0,0,0,0,0,0,0,0,144400,0,0,373000,0,150200,190600,0
TAX_140,0,214800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_141,0,0,0,0,0,0,0,107600,0,0,0,0,0,80800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_142,0,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_143,0,111400,0,54800,0,0,0,90200,0,0,0,0,58000,106600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_144,0,0,0,0,0,0,0,0,0,0,0,0,0,82400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_145,0,289800,0,535400,0,327000,0,489000,0,325200,214200,0,526600,450600,0,0,189800,0,127400,0,0,0,93800,104000,0,0,0,0,0,116000,139200,0,0,106000
TAX_146,0,0,0,0,0,0,0,166400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_147,0,0,0,74400,0,0,0,216200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_148,0,0,0,0,0,0,0,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_149,0,0,0,0,0,0,0,91000,0,0,0,0,0,50800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_150,0,0,0,0,0,0,0,120800,0,0,0,0,50400,73600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_151,0,300200,0,138200,0,0,0,127000,0,85200,0,0,289000,382600,209600,149800,0,0,0,64400,0,0,87400,93400,0,0,342800,51000,0,138200,0,422200,363200,0
TAX_152,0,0,0,0,0,0,0,0,0,0,0,0,300600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_153,52600,513600,0,491600,0,492000,0,540400,0,406400,364400,0,491000,513000,390000,296800,367000,171800,296800,377400,53400,149200,293600,303200,0,0,422600,143600,0,339000,286600,296200,431200,175400
TAX_154,0,0,0,97800,0,106000,0,0,0,0,0,0,185000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_155,0,135000,0,238800,0,0,0,52800,0,133200,58200,0,57800,119600,52400,0,159600,0,131600,0,0,0,104000,83800,0,0,82600,0,0,86200,120400,91200,84000,0
TAX_156,0,60200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_157,0,0,0,0,0,0,0,0,0,0,0,0,105400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_158,0,75000,0,0,0,0,0,63400,0,0,0,0,0,87200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_159,0,0,0,69800,0,0,0,230200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66000
TAX_160,0,59200,0,0,0,0,0,52000,0,0,0,0,0,60800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_161,0,184400,0,0,0,0,91800,247400,0,0,0,0,116800,228400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63600,0,0,0,86200
TAX_162,0,350000,0,321000,0,71200,214800,366600,0,208000,59400,0,329800,348400,110200,66000,142600,67600,109800,164000,0,0,89200,82200,0,0,215200,70600,0,323000,111600,126600,260000,222600
TAX_163,0,0,0,0,0,0,0,54400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_164,0,176200,0,63200,0,0,119000,142200,0,0,0,0,176800,196400,0,0,0,0,0,0,0,0,0,0,0,0,65000,0,0,158800,0,0,96600,79000
TAX_165,0,0,0,143000,0,0,0,97400,0,84400,0,0,60200,0,0,0,0,0,0,58800,0,0,0,0,0,0,0,0,0,76800,0,0,0,0
TAX_166,0,109800,0,0,0,0,58800,242200,0,0,0,0,0,132200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148000
TAX_167,0,58600,0,0,0,0,0,66800,0,0,0,0,0,71800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
