,r1903c111_10m-3,r1903c117_50m-3,r1903c118_23m-3,r1903c119_11m-3,r1903c122_28m-3,r1903c123_10m-3,r1903c124_15m-3,r1903c126_45m-3,r1903c127_7m-3,r1903c129_26m-3,r1903c144_13m-3,rLas19c107_10m-3,rLas19c135_5m-3,rLas19c138_27m-3,ri1903c111_10m-1,ri1903c111_10m-2,ri1903c117_50m-1,ri1903c118_23m-2,ri1903c119_11m-2,ri1903c122_28m-1,ri1903c122_28m-2,ri1903c123_10m-2,ri1903c124_15m-1,ri1903c124_15m-2,ri1903c126_45m-1,ri1903c126_45m-2,ri1903c127_7m-2,ri1903c129_26m-1,ri1903c129_26m-2,ri1903c144_13m-2,riLas19c107_10m-2,riLas19c135_5m-1,riLas19c135_5m-2,riLas19c138_27m-1
TAX_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61400,0,0,0,0,0,0,0,0,0,0,0
TAX_2,0,0,0,0,0,0,52600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80800
TAX_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111800
TAX_4,0,194800,0,0,0,0,293000,0,0,0,0,0,0,0,216200,199800,89200,0,0,200200,134600,0,0,0,311000,311800,0,278000,232000,53000,95400,0,0,308600
TAX_5,0,588000,0,0,0,0,581000,0,0,0,0,0,0,209000,584400,587200,574000,288200,305400,588600,588000,566800,395400,425600,588200,589800,550400,585400,586400,497800,577400,511600,449800,579600
TAX_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67600,81800,0,0,0,0,0,0,0,0
TAX_7,0,111000,0,0,0,0,221800,0,0,0,0,0,0,0,165800,167600,109000,0,0,111000,145000,79000,0,0,250400,247400,0,228800,250800,0,134200,0,0,194600
TAX_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0
TAX_9,0,144800,0,0,0,0,158600,0,0,0,0,0,0,0,127800,106000,0,0,0,126000,63400,0,0,0,123200,118000,0,146200,89400,0,0,0,0,162600
TAX_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55400,60200,0,0,0,0,0,0,0,0
TAX_11,0,479200,0,0,0,0,452000,0,0,0,0,0,0,0,456000,431600,317800,82800,0,480400,295600,105400,0,0,401200,379200,0,413200,298600,0,221800,0,0,464200
TAX_12,0,434800,0,0,0,0,363200,0,0,0,0,0,0,0,399800,355200,376600,0,146400,436200,320400,168000,96800,98800,286200,269200,169000,320400,200400,0,275600,172000,142000,392600
TAX_13,0,158800,0,0,0,0,164200,0,0,0,0,0,0,0,138000,141200,0,0,0,140600,163400,0,0,0,214600,398600,0,123400,158600,0,0,0,0,157400
TAX_14,0,391800,0,0,0,0,340800,0,0,0,0,0,0,53800,371800,376800,391000,145600,127000,384800,394200,375600,165200,207000,383200,216600,247200,384600,400600,142800,394200,216200,153600,341800
TAX_15,0,50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71200,0,0,54000,54000,0,0,0,0,0
TAX_16,0,0,0,0,0,0,56400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71400,0,0,0,0,0,0,0,0
TAX_17,0,213600,0,0,0,0,405000,0,0,0,0,0,0,67600,206400,198200,102000,0,0,207600,185400,58000,0,0,393200,388000,0,197600,172200,0,97800,0,0,209600
TAX_18,0,455000,0,0,0,0,149800,0,0,0,0,0,0,0,414200,406400,461200,135800,160800,445000,431400,405600,219600,236800,177000,186200,273000,448600,424000,203000,463000,254400,181800,413600
TAX_19,0,0,0,0,0,0,78800,0,0,0,0,0,0,0,0,54600,0,99800,0,0,0,0,0,0,278800,298200,0,106000,220600,0,0,0,0,0
TAX_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53000,58600,0,0,0,0,0,0,0,0
