#OTU ID	S1903c111_10m_3	S1903c117_50m_3	S1903c118_23m_3	S1903c119_11m_3	S1903c122_28m_3	S1903c123_10m_3	S1903c124_15m_3	S1903c126_45m_3	S1903c127_7m_3	S1903c129_26m_3	S1903c144_13m_3	Las19c107_10m_3	Las19c135_5m_3	Las19c138_27m_3	S1903c111_10m_1	S1903c117_50m_1	S1903c117_50m_2	S1903c118_23m_2	S1903c119_11m_2	S1903c122_28m_1	S1903c122_28m_2	S1903c123_10m_1	S1903c123_10m_2	S1903c124_15m_1	S1903c124_15m_2	S1903c126_45m_1	S1903c126_45m_2	S1903c127_7m_1	S1903c127_7m_2	S1903c129_26m_1	S1903c129_26m_2	S1903c144_13m_2	Las19c107_10m_1	Las19c107_10m_2	Las19c135_5m_1	Las19c135_5m_2	Las19c138_27m_1
TAX_49	0	84000	0	0	0	0	0	377000	0	0	0	0	0	133000	0	0	60000	0	0	0	0	0	0	0	0	203000	0	0	0	0	56000	54000	333000	193000	0	0	367000
TAX_50	0	378000	0	202000	0	0	93000	1708000	0	78000	0	0	0	707000	152000	136000	0	0	0	90000	81000	74000	50000	0	64000	55000	212000	0	0	214000	247000	0	93000	0	0	0	1523000
TAX_51	0	135000	0	168000	0	0	0	1334000	0	61000	0	0	0	453000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56000	0	0	0	0	0	177000
TAX_52	0	91000	0	0	0	0	0	406000	0	0	0	0	0	869000	74000	0	0	0	0	0	74000	0	0	0	0	314000	443000	0	0	268000	663000	0	0	0	0	0	131000
TAX_53	0	0	0	53000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_54	0	69000	0	0	0	0	77000	267000	0	0	0	0	0	162000	54000	0	0	0	0	0	0	0	0	0	0	83000	80000	0	0	0	0	0	0	0	0	0	115000
TAX_55	0	197000	0	0	0	0	101000	286000	0	0	0	0	0	636000	100000	0	0	0	0	51000	0	0	0	0	0	205000	196000	0	0	143000	126000	0	0	0	0	0	284000
TAX_56	0	0	0	0	0	0	0	134000	0	0	0	0	0	51000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86000
TAX_57	0	0	0	0	0	0	0	70000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_58	0	115000	0	0	0	0	80000	84000	0	0	0	0	79000	94000	0	0	0	0	0	56000	0	0	0	0	0	0	0	0	0	0	0	0	51000	0	0	0	98000
TAX_59	0	177000	0	0	0	0	107000	344000	0	0	0	0	151000	294000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61000	0	0	0	172000
TAX_60	0	908000	0	179000	0	0	836000	998000	0	102000	0	0	621000	910000	513000	325000	158000	326000	97000	613000	121000	84000	51000	141000	113000	252000	241000	210000	187000	489000	189000	462000	531000	247000	237000	344000	860000
TAX_61	0	213000	0	65000	0	0	181000	212000	0	0	0	0	157000	199000	135000	81000	50000	89000	0	158000	0	0	0	0	0	74000	80000	54000	61000	125000	57000	113000	147000	0	68000	88000	204000
TAX_62	0	0	0	98000	0	0	0	136000	0	0	0	0	0	53000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_63	0	76000	0	0	0	0	0	484000	0	85000	0	0	90000	551000	0	0	0	0	0	0	0	0	0	0	0	110000	129000	0	0	107000	202000	0	0	0	0	0	126000
TAX_64	0	0	0	0	0	0	0	70000	0	0	0	0	0	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_65	0	73000	0	0	50000	0	0	0	0	469000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000	0	0	0	0	0	0	0	0	0	0	0
TAX_66	0	0	0	0	0	0	0	90000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_67	0	103000	0	0	0	0	0	0	0	0	0	0	0	69000	71000	0	0	0	0	0	0	0	0	0	0	0	0	122000	127000	0	0	65000	0	0	137000	153000	0
TAX_68	0	1779000	0	0	0	0	353000	0	0	0	0	0	0	184000	563000	110000	52000	69000	0	1309000	370000	0	0	0	0	180000	148000	119000	95000	422000	172000	0	168000	56000	115000	110000	534000
TAX_69	0	314000	0	0	0	0	64000	0	0	0	0	0	0	0	79000	0	0	0	0	263000	75000	0	0	0	0	0	0	0	0	71000	0	0	0	0	0	0	93000
TAX_70	0	71000	0	0	0	0	52000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52000
TAX_71	0	0	0	0	0	0	199000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_72	0	56000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83000
TAX_73	0	173000	0	162000	0	0	87000	174000	0	0	0	0	0	69000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59000	0	0	0	108000
TAX_74	0	108000	0	206000	0	0	70000	213000	0	0	0	0	0	253000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68000
TAX_75	0	94000	0	0	0	0	0	64000	0	0	0	0	0	89000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69000
TAX_76	0	71000	0	172000	0	0	0	0	0	0	0	0	0	0	0	52000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148000	169000	0	0	0	0
TAX_77	0	0	0	0	0	0	0	0	0	0	0	0	0	72000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_78	0	91000	0	0	0	0	0	89000	0	0	0	0	52000	152000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_79	0	76000	0	0	0	0	0	79000	0	0	0	0	70000	281000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59000	0	0	0	0	0	0	0
TAX_80	0	0	0	0	0	0	0	70000	0	0	0	0	0	58000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_81	0	333000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_82	0	126000	0	0	0	0	0	425000	0	0	0	0	0	297000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81000
TAX_83	0	0	0	0	0	0	0	53000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_84	0	157000	0	0	0	0	0	0	0	0	0	0	0	79000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_85	0	488000	0	238000	0	107000	0	338000	0	80000	0	0	257000	420000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000	91000	0	0	0	0
TAX_86	0	112000	0	203000	0	71000	0	254000	0	97000	64000	0	196000	530000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109000	0	0	0	0
TAX_87	0	0	0	0	0	0	0	96000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_88	0	56000	0	0	0	0	60000	612000	0	0	0	0	0	66000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101000
TAX_89	0	0	0	224000	0	0	0	716000	0	90000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121000	0	0	0	106000
TAX_90	0	0	0	0	0	0	0	205000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_91	0	0	0	0	0	0	0	71000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_92	0	0	0	0	0	0	0	0	0	0	0	0	73000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_93	0	0	0	0	0	0	0	0	0	0	0	0	477000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_94	0	56000	0	76000	0	0	0	0	0	0	0	0	62000	59000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81000	0	0	0	0
TAX_95	0	0	0	0	0	0	0	0	0	0	0	0	408000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_96	0	0	0	0	0	0	0	0	0	0	0	0	131000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_97	0	0	0	85000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58000	57000	0	0	80000	68000	0	0	177000	90000	67000	79000	68000	0
TAX_98	0	143000	0	84000	0	0	78000	177000	0	0	0	0	90000	146000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52000	0	0	78000	92000	0	0	66000	63000
TAX_99	0	0	0	0	0	0	0	64000	0	0	0	0	0	66000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_100	0	62000	0	224000	0	0	0	756000	0	105000	0	0	0	67000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64000	176000	0	0	0	188000
TAX_101	0	227000	0	166000	0	0	59000	212000	0	98000	0	0	171000	220000	65000	86000	57000	0	63000	90000	0	0	0	60000	0	0	0	123000	130000	0	0	176000	188000	66000	87000	155000	112000
TAX_102	0	0	0	0	0	0	0	84000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_103	0	889000	0	89000	0	0	260000	1332000	0	0	0	0	480000	1258000	89000	0	0	0	0	65000	0	0	0	0	0	0	0	0	0	50000	0	100000	221000	0	0	63000	285000
TAX_104	0	288000	0	0	0	0	82000	498000	0	0	0	0	0	474000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135000
TAX_105	0	0	0	72000	0	0	0	192000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_106	0	356000	0	208000	0	0	144000	484000	0	117000	0	0	384000	453000	75000	0	0	0	0	80000	0	0	0	0	0	0	0	119000	107000	68000	0	279000	156000	0	80000	170000	222000
TAX_107	0	70000	0	140000	0	0	0	334000	0	82000	0	0	0	69000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000	80000	0	0	0	84000
TAX_108	0	118000	0	0	0	0	0	300000	0	0	0	0	0	142000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100000
TAX_109	0	121000	0	0	0	0	0	181000	0	0	0	0	58000	156000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69000	0	0	0	0	67000
TAX_110	0	462000	0	124000	0	0	178000	698000	0	60000	0	0	194000	621000	55000	63000	0	0	0	97000	0	0	0	0	0	0	0	76000	61000	54000	0	221000	116000	0	0	114000	268000
TAX_111	0	132000	0	0	0	0	0	460000	0	0	0	0	0	974000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_112	0	0	0	0	0	0	0	70000	0	0	0	0	0	361000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_113	0	0	0	0	0	0	0	0	0	0	0	0	0	199000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_114	0	0	0	0	0	0	0	0	0	0	0	0	0	74000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_115	0	165000	0	0	0	0	0	0	0	0	0	0	0	419000	0	0	0	0	0	0	0	0	0	0	0	0	0	359000	333000	0	0	374000	0	0	505000	529000	0
TAX_116	0	92000	0	0	0	0	0	51000	0	0	0	0	111000	123000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_117	0	0	0	0	0	0	0	0	0	0	0	0	0	55000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_118	0	737000	0	0	0	0	0	0	0	0	0	0	531000	534000	112000	71000	0	0	68000	283000	0	0	0	0	0	0	0	350000	355000	76000	0	59000	0	0	293000	292000	0
TAX_119	0	68000	0	0	0	0	0	79000	0	0	0	0	0	174000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_120	0	0	0	0	0	0	0	0	0	0	0	0	0	63000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_121	0	0	0	0	0	0	0	0	0	0	0	0	2085000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_122	0	0	0	0	0	0	0	0	0	0	0	0	403000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_123	0	0	0	0	0	0	0	0	0	0	0	0	91000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_124	0	57000	0	0	0	0	0	0	0	0	0	0	0	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_125	0	69000	0	58000	0	0	0	0	0	0	0	0	0	97000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_126	0	155000	0	147000	0	0	0	61000	0	98000	0	0	50000	108000	0	0	0	0	0	0	0	0	0	0	0	0	0	66000	64000	0	0	0	134000	0	0	55000	0
TAX_127	0	166000	0	128000	0	0	109000	298000	0	75000	0	0	130000	383000	52000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59000	97000	0	0	0	71000
TAX_128	0	486000	0	468000	0	134000	335000	600000	0	301000	64000	0	461000	626000	181000	144000	82000	93000	79000	121000	0	0	0	116000	113000	0	0	134000	115000	92000	0	234000	391000	134000	79000	161000	252000
TAX_129	0	0	0	0	0	0	0	0	0	0	0	0	278000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_130	0	0	0	0	0	0	0	0	0	0	0	0	1169000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_131	0	0	0	0	0	0	0	0	0	0	0	0	129000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_132	0	0	0	0	0	0	0	0	0	0	0	0	56000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_133	0	0	0	0	0	0	0	0	0	0	0	0	0	73000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_134	0	0	0	0	0	0	0	65000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_135	0	0	0	0	0	0	0	50000	0	0	0	0	0	76000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_136	0	1760000	0	0	0	0	0	206000	0	0	0	0	302000	1459000	556000	104000	0	85000	0	1675000	1204000	0	0	74000	52000	0	0	1063000	1026000	607000	369000	0	78000	0	863000	692000	128000
TAX_137	0	991000	0	366000	0	73000	0	294000	0	211000	0	0	925000	1350000	585000	0	0	0	0	162000	0	68000	0	229000	231000	0	0	1268000	1196000	127000	0	346000	176000	63000	1198000	1290000	106000
TAX_138	0	229000	0	75000	0	0	56000	791000	0	0	0	0	248000	1421000	69000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219000	0	0	0	0	0	0	258000
TAX_139	0	0	0	0	0	0	0	72000	0	0	0	0	0	143000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_140	0	0	0	0	0	0	0	76000	0	0	0	0	0	1085000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60000	0	0	0	0	0	0	0
TAX_141	0	0	0	0	0	0	0	80000	0	0	0	0	58000	177000	53000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_142	0	0	0	0	0	0	0	0	0	0	0	0	0	70000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_143	0	0	0	0	0	0	0	0	0	0	0	0	0	66000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_144	0	0	0	0	0	0	61000	0	0	0	0	0	0	132000	0	0	0	0	0	0	0	0	0	0	0	0	57000	0	0	0	0	0	0	0	0	0	0
TAX_145	0	0	0	0	0	0	0	0	0	0	0	0	0	61000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_146	0	1131000	0	0	0	0	0	0	0	0	0	0	0	505000	111000	65000	0	0	0	853000	331000	0	0	0	0	0	0	233000	195000	121000	0	121000	119000	52000	263000	193000	0
TAX_147	0	998000	0	52000	0	0	72000	102000	0	0	0	0	0	254000	85000	0	0	0	0	233000	0	0	0	0	0	0	0	120000	103000	0	0	0	121000	0	80000	87000	0
TAX_148	0	178000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_149	0	0	0	0	0	0	0	0	0	0	0	0	0	419000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_150	0	269000	0	0	0	0	0	247000	0	0	0	0	438000	606000	196000	0	0	0	0	88000	0	0	0	0	0	0	0	446000	447000	229000	125000	286000	0	0	506000	489000	127000
