#OTU ID	S1903c111_10m_3	S1903c117_50m_3	S1903c118_23m_3	S1903c119_11m_3	S1903c122_28m_3	S1903c123_10m_3	S1903c124_15m_3	S1903c126_45m_3	S1903c127_7m_3	S1903c129_26m_3	S1903c144_13m_3	Las19c107_10m_3	Las19c135_5m_3	Las19c138_27m_3	S1903c111_10m_1	S1903c117_50m_1	S1903c117_50m_2	S1903c118_23m_2	S1903c119_11m_2	S1903c122_28m_1	S1903c122_28m_2	S1903c123_10m_1	S1903c123_10m_2	S1903c124_15m_1	S1903c124_15m_2	S1903c126_45m_1	S1903c126_45m_2	S1903c127_7m_1	S1903c127_7m_2	S1903c129_26m_1	S1903c129_26m_2	S1903c144_13m_2	Las19c107_10m_1	Las19c107_10m_2	Las19c135_5m_1	Las19c135_5m_2	Las19c138_27m_1
TAX_1	0	247000	0	0	0	0	504000	0	0	0	0	0	0	0	332000	61000	0	0	0	286000	195000	0	0	0	0	696000	682000	0	0	363000	328000	80000	143000	72000	0	0	590000
TAX_2	0	1848000	0	0	0	0	1726000	0	0	0	0	0	0	374000	1794000	1657000	1426000	424000	513000	1842000	1864000	1683000	1565000	735000	887000	1839000	1851000	1588000	1532000	1776000	1843000	1318000	1748000	1681000	1339000	1115000	1749000
TAX_3	0	62000	0	0	0	0	137000	0	0	0	0	0	0	0	85000	0	0	0	0	56000	0	0	0	0	0	116000	122000	0	0	115000	57000	0	0	0	0	0	88000
TAX_4	0	0	0	0	0	0	107000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201000	263000	0	0	0	0	0	0	0	0	0	0
TAX_5	0	163000	0	0	0	0	347000	0	0	0	0	0	0	0	262000	167000	92000	91000	0	171000	261000	186000	130000	0	0	424000	434000	0	0	390000	419000	0	267000	212000	0	0	314000
TAX_6	0	57000	0	0	0	0	67000	0	0	0	0	0	0	0	0	0	0	0	0	52000	62000	0	0	0	0	74000	75000	0	0	52000	63000	0	0	0	0	0	56000
TAX_7	0	0	0	0	0	0	87000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81000	89000	0	0	92000	52000	0	0	0	0	0	0
TAX_8	0	1185000	0	0	0	0	1324000	0	0	0	0	0	0	110000	1118000	363000	184000	160000	0	1077000	591000	127000	103000	0	0	1167000	1151000	0	0	1305000	882000	0	582000	258000	0	0	1410000
TAX_9	0	135000	0	0	0	0	103000	0	0	0	0	0	0	0	112000	123000	106000	0	0	128000	132000	127000	107000	0	63000	127000	132000	83000	62000	125000	133000	0	144000	130000	50000	52000	107000
TAX_10	0	0	0	0	0	0	71000	0	0	0	0	0	0	0	56000	0	0	0	0	0	0	0	0	0	0	88000	89000	0	0	83000	83000	0	61000	0	0	0	60000
TAX_11	0	53000	0	0	0	0	0	0	0	0	0	0	0	0	0	51000	0	0	0	51000	62000	55000	0	0	0	50000	50000	0	0	54000	61000	0	57000	56000	0	0	0
TAX_12	0	209000	0	0	0	0	205000	0	0	0	0	0	0	0	190000	136000	80000	0	0	210000	136000	66000	51000	0	0	183000	189000	0	0	191000	121000	0	166000	96000	0	0	216000
TAX_13	0	0	0	0	0	0	58000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103000	107000	0	0	0	0	0	0	0	0	0	75000
TAX_14	0	57000	0	0	0	0	68000	0	0	0	0	0	0	0	52000	0	0	0	0	56000	50000	0	0	0	0	74000	67000	0	0	53000	65000	0	0	0	0	0	59000
TAX_15	0	144000	0	0	0	0	222000	0	0	0	0	0	0	0	165000	102000	60000	0	0	137000	138000	86000	73000	0	0	264000	276000	0	0	194000	203000	0	156000	111000	0	0	177000
TAX_16	0	0	0	0	0	0	90000	0	0	0	0	0	0	0	91000	0	0	0	0	0	0	0	0	0	0	218000	237000	0	0	0	0	0	0	0	0	0	0
TAX_17	0	0	0	0	0	0	422000	0	0	0	0	0	0	0	123000	0	0	158000	0	57000	86000	0	0	0	0	831000	882000	0	0	601000	742000	0	0	0	0	0	164000
TAX_18	0	0	0	0	0	0	109000	0	0	0	0	0	0	0	76000	0	0	0	0	54000	64000	0	0	0	0	274000	353000	0	0	0	65000	0	86000	0	0	0	819000
TAX_19	0	385000	0	0	0	0	414000	0	0	0	0	0	0	0	292000	173000	67000	0	0	305000	60000	0	0	0	0	192000	187000	0	0	433000	165000	117000	474000	121000	0	0	1513000
TAX_20	0	0	0	0	0	0	211000	0	0	0	0	0	0	0	177000	76000	0	0	0	111000	0	0	0	0	0	99000	55000	0	0	295000	130000	0	140000	0	0	0	559000
TAX_21	0	133000	0	0	0	0	100000	0	0	0	0	0	0	0	88000	0	0	0	0	59000	0	0	0	0	0	0	0	0	0	107000	0	0	69000	0	0	0	232000
TAX_22	0	78000	0	0	0	0	69000	0	0	0	0	0	0	0	62000	0	0	0	0	0	0	0	0	0	0	0	93000	0	0	147000	73000	0	0	0	0	0	296000
TAX_23	0	662000	0	0	0	0	839000	0	0	0	0	0	0	127000	718000	298000	146000	53000	0	577000	117000	68000	0	0	0	464000	487000	0	0	849000	448000	76000	637000	207000	0	0	969000
TAX_24	0	0	0	0	0	0	80000	0	0	0	0	0	0	0	53000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124000	50000	0	70000	0	0	0	426000
TAX_25	0	96000	0	0	0	0	233000	0	0	0	0	0	0	0	90000	0	0	0	0	57000	0	0	0	0	0	96000	79000	0	0	68000	0	0	0	0	0	0	203000
TAX_26	0	0	0	0	0	0	72000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203000	216000	0	0	67000	83000	0	0	0	0	0	0
TAX_27	0	266000	0	0	0	0	685000	0	0	0	0	0	0	0	215000	60000	0	0	0	168000	0	0	0	0	0	288000	250000	0	0	374000	124000	0	108000	0	0	0	501000
TAX_28	0	0	0	0	0	0	54000	0	0	0	0	0	0	0	157000	0	0	0	0	0	0	0	0	0	0	195000	210000	0	0	269000	336000	0	0	0	0	0	318000
TAX_29	0	109000	0	0	0	0	158000	0	0	0	0	0	0	0	81000	0	0	0	0	54000	0	0	0	0	0	0	0	0	0	110000	0	0	0	0	0	0	347000
TAX_30	0	0	0	0	0	0	0	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63000	0	0	0	88000
TAX_31	0	0	0	0	0	0	0	187000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60000	53000	0	0	0	0	0	0	0	290000	67000	0	0	199000
TAX_32	0	152000	0	0	0	0	77000	163000	0	0	0	0	0	0	0	109000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51000	436000	121000	0	0	329000
TAX_33	0	345000	0	0	0	0	230000	461000	0	0	0	0	0	89000	101000	59000	63000	0	0	90000	0	0	0	66000	0	0	0	0	0	50000	0	136000	251000	0	0	0	635000
TAX_34	0	0	0	0	0	0	0	233000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80000	52000	0	0	0	0	0	0	68000	301000	68000	0	0	262000
TAX_35	0	75000	0	0	0	0	53000	106000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57000	188000	0	0	0	216000
TAX_36	0	0	0	0	0	0	0	59000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_37	0	0	0	0	0	0	0	0	0	0	0	0	0	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_38	0	0	0	0	0	0	0	0	0	0	0	0	0	84000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAX_39	0	1351000	0	659000	166000	224000	0	1439000	130000	834000	51000	270000	1385000	1464000	146000	209000	83000	0	54000	404000	729000	90000	59000	55000	56000	235000	301000	75000	117000	348000	607000	118000	138000	109000	282000	135000	803000
TAX_40	0	57000	0	0	0	0	0	72000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54000	59000	0	0	0	0	0	50000	0	0	0	439000
TAX_41	0	70000	0	70000	0	0	97000	285000	0	0	0	0	0	0	72000	57000	0	0	0	0	0	93000	58000	99000	61000	84000	57000	0	0	0	0	0	590000	237000	0	0	985000
TAX_42	0	135000	0	0	0	0	104000	497000	0	0	0	0	0	472000	73000	0	0	0	0	0	0	0	0	0	0	150000	164000	0	0	0	0	0	0	0	0	0	297000
TAX_43	0	0	0	0	0	0	0	141000	0	0	0	0	0	96000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80000
TAX_44	0	0	0	0	0	0	0	88000	0	0	0	0	0	0	0	0	0	0	0	0	0	150000	112000	103000	62000	0	70000	0	0	0	0	0	265000	269000	0	0	353000
TAX_45	0	0	0	0	0	0	0	362000	0	0	0	0	0	0	130000	128000	89000	0	0	0	61000	941000	663000	619000	435000	238000	348000	0	0	55000	141000	111000	1262000	1285000	0	0	1691000
TAX_46	0	0	0	0	0	0	0	152000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58000	0	0	0	0	0	0	0	0	0	137000
TAX_47	0	0	0	0	0	0	0	59000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71000
TAX_48	0	0	0	72000	0	0	0	448000	0	0	0	0	0	0	0	0	0	0	0	0	0	148000	96000	84000	0	86000	92000	0	0	0	0	0	456000	394000	0	0	1016000
