,Domain,Phylum,Class,Order,Family,Genus,Species
TAX_1,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Poseidoniaceae,MGIIa-K1,MGIIa-K1 sp009936765
TAX_2,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp000246735
TAX_3,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp002172355
TAX_4,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp002495535
TAX_5,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp002502605
TAX_6,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp002506275
TAX_7,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp002688825
TAX_8,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp002726395
TAX_9,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp003602605
TAX_10,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp003602645
TAX_11,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp009887095
TAX_12,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp009887195
TAX_13,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp009937025
TAX_14,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Poseidoniaceae,MGIIa-L2,MGIIa-L2 sp003602665
TAX_15,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Poseidoniaceae,MGIIa-L2,MGIIa-L2 sp009887135
TAX_16,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Poseidoniaceae,Poseidonia,Poseidonia sp002726495
TAX_17,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Thalassarchaeaceae,MGIIb-N1,MGIIb-N1 sp002497295
TAX_18,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Thalassarchaeaceae,MGIIb-O1,MGIIb-O1 sp002497895
TAX_19,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Thalassarchaeaceae,MGIIb-O2,MGIIb-O2 sp002494975
TAX_20,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Thalassarchaeaceae,MGIIb-O2,MGIIb-O2 sp002498985
TAX_21,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Thalassarchaeaceae,MGIIb-O2,MGIIb-O2 sp002685315
TAX_22,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Thalassarchaeaceae,MGIIb-O2,MGIIb-O2 sp002730775
TAX_23,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Thalassarchaeaceae,MGIIb-O2,MGIIb-O2 sp902511005
TAX_24,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Thalassarchaeaceae,MGIIb-O2,MGIIb-O2 sp902514485
TAX_25,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Thalassarchaeaceae,MGIIb-O3,MGIIb-O3 sp002503285
TAX_26,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Thalassarchaeaceae,MGIIb-O3,MGIIb-O3 sp002683155
TAX_27,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Thalassarchaeaceae,MGIIb-O3,MGIIb-O3 sp002731195
TAX_28,Archaea,Thermoplasmatota,Poseidoniia_A,Poseidoniales,Thalassarchaeaceae,MGIIb-O5,MGIIb-O5 sp002499345
TAX_29,Archaea,Thermoplasmatota,Poseidoniia_B,MGIII,CG-Epi1,CG-Epi1,CG-Epi1 sp002497685
TAX_30,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopelagicus,Nitrosopelagicus brevis
TAX_31,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopelagicus,Nitrosopelagicus sp902512865
TAX_32,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus catalinensis
TAX_33,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535
TAX_34,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp902514095
TAX_35,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp902514275
TAX_36,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA8438,DTWD01,DTWD01 sp012963185
TAX_37,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino5,Casp-actino5 sp002501485
TAX_38,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino5,Casp-actino5 sp012269985
TAX_39,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter_A,Ilumatobacter_A sp002711735
TAX_40,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,MedAcidi-G1,MedAcidi-G1,MedAcidi-G1 sp000817085
TAX_41,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,MedAcidi-G1,MedAcidi-G1,MedAcidi-G1 sp002729765
TAX_42,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,MedAcidi-G1,MedAcidi-G2B,MedAcidi-G2B sp000817115
TAX_43,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,MedAcidi-G1,MedAcidi-G2B,MedAcidi-G2B sp902634555
TAX_44,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,MedAcidi-G1,UBA9410,UBA9410 sp003541675
TAX_45,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,MedAcidi-G1,UBA9410,UBA9410 sp014237715
TAX_46,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,TK06,MedAcidi-G3,MedAcidi-G3 sp000817105
TAX_47,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,TK06,MedAcidi-G3,MedAcidi-G3 sp002722565
TAX_48,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,TK06,UBA2110,UBA2110 sp014239555
TAX_49,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,TK06,UBA9040,UBA9040 sp002731665
TAX_50,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,TK06,UBA9040,UBA9040 sp003452475
TAX_51,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA10347,UBA10347,UBA10347 sp003485885
TAX_52,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA11606,UBA11606,UBA11606 sp002729125
TAX_53,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA11606,UBA11606,UBA11606 sp009937405
TAX_54,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8592,MedAcidi-G2A,MedAcidi-G2A sp002171605
TAX_55,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8592,MedAcidi-G2A,MedAcidi-G2A sp002341185
TAX_56,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8592,MedAcidi-G2A,MedAcidi-G2A sp002709645
TAX_57,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8592,UBA8592,UBA8592 sp002703045
TAX_58,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Actinomarina,Actinomarina sp002169115
TAX_59,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Actinomarina,Actinomarina sp002308095
TAX_60,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Actinomarina,Actinomarina sp002683085
TAX_61,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Actinomarina,Actinomarina sp014239265
TAX_62,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,GCA-2699445,GCA-2699445,GCA-2699445 sp002699445
TAX_63,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,S36-B12,S36-B12,S36-B12 sp002729215
TAX_64,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,S36-B12,S36-B12,S36-B12 sp012103605
TAX_65,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes
TAX_66,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,GCA-002708315,GCA-002708315 sp002708315
TAX_67,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,UBA1994,UBA1994 sp002335865
TAX_68,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,UBA4465,UBA4465 sp002292365
TAX_69,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,UBA4465,UBA4465 sp002470835
TAX_70,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,UBA4465,UBA4465 sp002691385
TAX_71,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Marinoscillaceae,MED-G16,MED-G16 sp002696995
TAX_72,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,BACL11,BACL11,BACL11 sp002730985
TAX_73,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,BACL11,GCA-002697625,GCA-002697625 sp002710495
TAX_74,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,BACL11,GCA-002697625,GCA-002697625 sp902514225
TAX_75,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,BACL11,GCA-002715885,GCA-002715885 sp002689735
TAX_76,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,BACL11,GCA-2683775,GCA-2683775 sp002683775
TAX_77,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA952,UBA952 sp002167775
TAX_78,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA952,UBA952 sp002480215
TAX_79,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA952,UBA952 sp002683585
TAX_80,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA952,UBA952 sp002696025
TAX_81,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavicella,Flavicella sp002477565
TAX_82,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002723295,GCA-002723295 sp002690805
TAX_83,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002728855,GCA-002728855 sp002702405
TAX_84,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002733185,GCA-002733185 sp002713705
TAX_85,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002733185,GCA-002733185 sp004213605
